week,nb_sold,revenue,sales_method
1,8,82.94,1
1,9,91.18,1
1,10,100.67,1
2,9,43.67,0
5,11,53.94,0
2,9,43.98,0
5,10,51.94,0
3,8,41.62,0
3,8,40.51,0
2,9,48.16894230769231,0
1,9,88.99,1
2,9,43.02,0
3,9,92.93,1
2,11,111.6,1
4,11,111.24,1
2,10,97.91,1
5,10,52.47,0
4,11,114.06,1
3,9,94.22,1
1,7,35.02,0
4,11,53.52,0
6,13,127.16,1
1,9,85.18,1
2,10,101.8,1
5,10,51.75,0
4,12,178.46,2
1,9,85.23,1
5,12,115.13,1
4,10,51.42,0
1,9,86.65,1
3,8,40.51,0
4,12,119.43,1
1,9,87.53,1
1,10,103.31,1
3,8,41.83,0
1,8,37.96,0
2,9,43.63,0
2,9,94.79,1
4,11,113.02,1
5,11,110.33,1
2,10,95.95,1
1,9,85.5,1
4,10,50.5,0
2,10,95.93,1
3,9,97.90166666666666,1
1,8,83.61,1
1,7,37.44,0
4,12,184.94,2
3,9,90.14,1
3,10,155.81,2
6,14,68.36,0
4,10,51.82,0
1,7,33.79,0
5,11,112.33,1
3,10,155.51,2
3,9,91.8,1
2,10,95.58,1
4,10,50.66,0
4,11,106.63,1
5,11,108.55,1
1,9,91.04,1
4,10,47.77585714285714,0
1,9,85.61,1
1,8,124.95,2
3,9,94.16,1
4,12,182.62503816793887,2
5,11,105.55,1
1,8,83.6,1
3,9,93.09,1
2,9,48.78010452961672,0
2,10,96.47,1
5,11,53.12,0
1,8,79.3,1
3,9,91.2,1
4,10,52.4,0
5,12,183.98,2
5,11,109.29,1
1,9,85.07,1
4,10,50.26,0
3,9,94.24,1
1,9,88.3,1
6,13,66.24,0
6,13,133.26,1
1,7,35.42,0
2,10,98.32,1
5,11,56.04,0
3,8,39.58,0
5,11,53.27,0
6,13,133.3,1
1,9,89.7,1
3,10,148.42,2
3,8,41.4,0
1,8,83.4,1
1,8,97.0785026737968,1
5,11,54.41,0
1,8,84.83,1
3,9,92.9,1
4,10,103.72,1
1,7,34.82,0
3,8,40.48,0
1,8,81.4,1
4,11,106.99,1
3,8,42.21,0
2,10,104.83,1
3,9,94.85,1
2,10,97.59562841530057,1
3,10,97.0785026737968,1
1,7,35.46,0
2,11,109.2,1
4,11,107.4,1
1,10,95.17,1
6,13,66.34,0
5,10,52.25,0
2,11,108.57,1
4,10,104.7,1
1,7,35.31,0
1,8,83.44,1
4,12,177.4,2
1,9,89.15,1
4,12,98.19682926829267,1
1,9,86.22,1
5,13,127.15,1
3,8,41.25,0
4,12,123.82,1
3,8,40.69,0
4,11,109.41,1
4,11,110.03,1
1,9,128.59,2
1,9,86.84,1
1,10,96.21,1
4,11,53.6,0
2,9,92.33,1
1,7,36.06,0
3,8,41.1,0
3,9,88.72,1
2,10,98.2,1
1,9,88.72,1
3,9,86.55,1
6,13,94.5759836065574,1
5,10,50.4,0
4,10,51.87,0
1,7,34.43,0
2,9,44.18,0
5,11,109.1,1
2,8,42.47,0
4,12,116.59,1
3,9,43.24,0
1,9,85.37,1
2,10,98.3,1
5,11,54.95,0
3,10,98.44,1
1,7,34.48,0
3,8,40.39,0
2,10,152.86,2
3,8,40.36,0
3,9,93.56,1
3,8,40.66,0
4,12,185.17,2
2,8,42.37,0
1,9,85.73,1
5,11,52.57,0
1,9,92.26,1
6,14,68.45,0
3,8,42.16,0
3,8,40.63,0
1,7,35.58,0
2,9,43.54,0
2,10,97.45,1
4,11,109.25,1
5,10,51.95,0
3,9,93.54,1
2,11,105.49,1
1,7,36.82,0
2,8,41.87,0
4,10,50.45,0
1,9,85.04,1
2,10,99.21,1
2,10,97.69,1
5,10,51.81,0
1,8,80.54,1
1,9,86.2,1
1,9,85.78,1
4,12,180.84,2
3,10,95.28,1
4,10,50.89,0
3,9,97.3725,1
1,9,85.28,1
4,10,103.83,1
3,10,103.45,1
4,10,96.87135135135136,1
4,11,52.75,0
4,11,53.67,0
2,9,43.44,0
3,8,39.31,0
1,9,91.12,1
5,11,107.02,1
1,10,95.87,1
3,9,94.33,1
2,10,98.22,1
4,11,109.7,1
1,9,97.67141203703704,1
3,10,155.05,2
3,9,88.05,1
5,10,51.32,0
6,14,47.94676190476191,0
4,10,51.68,0
1,8,82.09,1
1,9,89.0,1
1,8,79.55,1
1,8,84.28,1
3,10,149.67,2
2,10,99.44,1
5,11,55.75,0
2,9,43.05,0
6,13,66.08,0
3,9,88.37,1
2,9,45.5,0
1,9,130.5,2
2,9,44.03,0
3,10,156.22,2
5,10,104.8,1
2,11,105.58,1
1,10,95.07,1
2,10,97.73,1
5,11,54.8,0
5,13,179.60489795918366,2
1,9,86.18,1
5,12,183.47,2
2,11,106.87,1
1,7,36.89,0
1,9,128.76,2
2,10,96.84,1
5,11,107.26,1
5,11,109.34,1
1,7,34.9,0
3,9,88.28,1
3,9,90.55,1
2,9,47.76315068493151,0
3,9,44.5,0
5,11,110.14,1
1,8,37.88,0
5,10,104.16,1
6,13,130.04,1
1,9,87.43,1
4,11,112.86,1
1,7,35.25,0
2,10,96.77,1
2,10,181.63103448275865,2
2,8,42.25,0
4,12,185.04,2
4,10,49.51,0
2,10,95.16,1
2,10,98.63,1
2,10,182.3207329842932,2
1,8,84.14,1
1,11,107.52,1
4,11,55.0,0
5,11,54.29,0
1,9,89.01,1
6,13,96.47137096774196,1
1,9,129.98,2
2,10,96.88,1
5,12,182.5775,2
4,12,180.3,2
5,12,182.03,2
3,9,42.96,0
1,9,97.67141203703704,1
1,8,84.17,1
5,11,52.55,0
4,11,108.31,1
1,8,126.02,2
1,9,87.5,1
4,10,52.2,0
2,8,42.16,0
5,12,185.03,2
5,10,52.0,0
3,9,92.2,1
4,10,49.96,0
4,12,183.01889733840304,2
4,11,112.48,1
1,9,92.52,1
2,9,93.54,1
1,7,36.32,0
1,9,85.7,1
3,10,97.47,1
4,12,181.59,2
2,9,44.48,0
4,11,111.53,1
4,10,49.96,0
1,9,87.25,1
1,9,85.95,1
1,8,83.07,1
2,9,93.84,1
1,7,36.09,0
2,10,96.25,1
2,10,99.54,1
1,7,36.93,0
4,10,51.44,0
2,10,99.08,1
6,13,133.59,1
1,10,98.86,1
1,9,85.36,1
2,10,101.38,1
3,9,95.8234065934066,1
5,12,183.85,2
3,10,152.75,2
5,11,54.15,0
4,10,50.28,0
4,10,50.12,0
4,10,49.64,0
6,13,66.55,0
1,8,80.76,1
2,10,95.84,1
4,10,50.02,0
5,11,52.63,0
3,10,95.92,1
4,11,105.68,1
4,11,53.1,0
1,7,34.95,0
4,11,97.3725,1
4,10,50.68,0
2,9,43.42,0
3,8,40.77,0
6,13,65.38,0
2,10,151.67,2
1,9,87.56,1
2,9,92.32,1
1,9,86.54,1
5,12,184.37,2
1,8,125.59,2
1,8,83.13,1
1,9,88.21,1
2,9,43.52,0
2,10,98.42,1
1,8,83.56,1
5,10,52.47,0
4,11,106.34,1
3,9,90.19,1
1,9,85.69,1
4,10,51.16,0
4,12,178.64,2
5,11,53.1,0
3,9,92.52,1
4,12,115.88,1
1,9,97.3725,1
3,10,99.67,1
5,10,51.27,0
3,8,42.32,0
1,7,35.16,0
1,9,87.17,1
2,10,153.77,2
5,10,104.47,1
3,10,95.80082191780822,1
2,9,94.29,1
4,10,50.74,0
3,9,43.0,0
1,7,36.52,0
2,10,98.86,1
6,14,67.69,0
6,13,67.13,0
3,9,44.42,0
4,12,178.4,2
1,9,131.97,2
3,9,87.93,1
1,9,88.73,1
6,13,64.7,0
1,9,88.1,1
2,10,96.74,1
3,9,88.0,1
5,11,54.06,0
3,10,145.74,2
3,8,40.28,0
3,10,97.44,1
2,9,43.14,0
4,11,110.35,1
4,10,51.76,0
2,10,96.79,1
2,9,43.99,0
3,10,97.33,1
3,10,103.08,1
1,8,83.95,1
1,8,81.0,1
3,9,43.24,0
1,9,88.48,1
4,11,53.49,0
1,7,36.15,0
1,7,36.61,0
1,9,88.39,1
2,10,100.91,1
1,10,95.54,1
1,9,88.67,1
3,8,41.82,0
2,10,47.5,0
2,9,47.09,0
1,8,82.9,1
2,10,102.18,1
4,12,177.1,2
1,8,127.04,2
4,10,50.87,0
2,9,43.88,0
1,9,97.09780821917808,1
5,12,182.3207329842932,2
3,10,147.19,2
6,13,65.32,0
3,10,150.82,2
2,10,98.04,1
5,11,109.23,1
1,9,86.13,1
3,10,151.89,2
2,9,43.74,0
4,11,106.46,1
2,11,106.43,1
3,9,89.33,1
2,10,98.74,1
4,10,51.53,0
1,7,34.5,0
2,10,96.21,1
5,11,105.11,1
4,11,105.47,1
5,10,49.008514851485145,0
1,7,35.88,0
4,11,111.34,1
4,10,49.53,0
1,7,34.59,0
2,9,44.58,0
5,11,53.21,0
6,14,70.31,0
1,9,86.32,1
5,11,54.51,0
3,9,88.98,1
3,8,40.46,0
4,11,96.58468571428573,1
1,9,94.16,1
3,8,40.01,0
1,9,85.5,1
1,9,85.27,1
4,11,52.98,0
4,10,103.44,1
2,10,153.43,2
4,12,117.41,1
3,10,102.94,1
2,10,98.5,1
1,8,84.66,1
1,9,87.73,1
4,12,178.9432608695652,2
1,10,95.4,1
3,9,87.78,1
6,13,65.11,0
2,10,184.86467741935485,2
2,10,104.23,1
4,10,104.19,1
2,10,155.71,2
1,7,36.61,0
5,11,53.89,0
2,9,43.81,0
5,11,46.95453781512605,0
3,9,90.37,1
1,9,88.6,1
4,11,105.15,1
2,10,97.19,1
5,11,111.4,1
4,10,103.32,1
6,13,65.03,0
6,14,135.42,1
3,8,47.89631239935588,0
1,9,87.46,1
3,9,94.29,1
4,11,52.84,0
5,11,113.77,1
1,9,92.46,1
4,10,49.65,0
5,11,110.18,1
5,11,54.13,0
2,10,184.6615328467153,2
4,10,49.92,0
6,13,64.88,0
3,9,88.91,1
1,9,92.82,1
5,10,103.44,1
1,9,86.95,1
1,8,84.35,1
1,9,89.96,1
4,12,115.02,1
6,13,129.33,1
1,9,86.03,1
2,9,44.56,0
1,9,88.31,1
4,11,109.79,1
3,8,41.03,0
3,10,154.39,2
5,10,104.72,1
3,10,100.97,1
5,11,52.86,0
3,9,90.41,1
3,9,94.75,1
4,12,179.09,2
3,9,88.73,1
4,11,108.76,1
3,9,88.33,1
5,10,104.64,1
5,12,117.88,1
1,8,81.44,1
1,8,84.87,1
5,10,50.91,0
5,10,51.94,0
4,10,51.12,0
1,8,82.08,1
5,10,51.87,0
1,9,88.27,1
4,11,105.16,1
6,14,67.96,0
6,13,64.49,0
2,9,42.83,0
1,7,33.54,0
6,13,67.43,0
1,8,82.91,1
4,10,51.63,0
1,7,36.95,0
4,13,132.26,1
3,10,95.88,1
3,9,93.57,1
4,12,185.51,2
5,12,183.01889733840304,2
5,12,184.4,2
1,9,87.25,1
1,7,47.72745454545454,0
1,8,83.45,1
2,10,101.7,1
1,7,34.74,0
5,11,111.55,1
4,10,52.24,0
1,7,33.23,0
4,10,52.3,0
4,10,51.69,0
2,10,102.17,1
3,9,93.65,1
2,10,96.8,1
5,12,184.77,2
1,8,83.92,1
4,11,108.43,1
3,8,41.62,0
2,9,42.9,0
4,11,53.76,0
5,11,57.22,0
2,10,150.84,2
3,8,40.67,0
3,10,147.05,2
6,13,64.06,0
1,9,131.71,2
1,9,87.93,1
3,9,89.14,1
2,10,102.84,1
3,8,40.04,0
5,10,52.42,0
3,10,148.93,2
6,13,65.98,0
1,9,85.94,1
1,7,33.73,0
5,13,184.0858823529412,2
1,9,91.66,1
1,9,94.59,1
1,8,82.47,1
1,10,98.42,1
1,9,89.14,1
4,12,179.11,2
4,11,112.06,1
6,14,67.89,0
4,10,50.35,0
1,9,132.85,2
4,11,112.05,1
4,10,51.09,0
4,10,49.67,0
3,8,40.44,0
1,10,95.85,1
1,8,80.25,1
3,10,152.17,2
5,13,183.01889733840304,2
5,11,105.11,1
3,9,97.0785026737968,1
2,10,99.57,1
5,11,52.56,0
4,10,51.29,0
5,11,52.85,0
2,10,97.08,1
4,10,50.14,0
4,11,114.24,1
5,10,51.44,0
1,8,82.07,1
3,10,96.03,1
1,8,83.31,1
5,11,108.35,1
4,11,53.17,0
4,10,50.88,0
2,10,101.78,1
5,11,54.74,0
3,10,152.32,2
3,10,146.35,2
3,9,45.3,0
3,9,94.19,1
3,8,41.04,0
3,9,87.47,1
5,10,52.29,0
3,9,93.11,1
2,9,94.69,1
1,7,36.13,0
1,7,37.02,0
3,8,42.48,0
4,11,106.62,1
4,12,180.52,2
1,9,97.3725,1
6,14,67.62,0
1,7,33.67,0
1,9,86.74,1
1,8,81.87,1
1,9,91.31,1
1,9,89.15,1
4,10,49.45,0
4,12,177.17,2
1,8,82.66,1
1,9,85.8,1
5,10,103.44,1
3,8,41.36,0
1,9,86.42,1
3,9,91.62,1
5,12,185.05,2
2,10,97.09733333333334,1
1,8,38.36,0
1,7,35.21,0
1,7,35.76,0
1,9,93.37,1
2,10,97.02,1
3,8,41.95,0
1,9,88.05,1
3,10,95.49,1
2,8,42.43,0
3,8,41.24,0
2,8,41.64,0
2,9,46.48,0
4,11,110.77,1
5,10,52.19,0
1,9,87.85,1
1,7,36.35,0
4,11,114.74,1
1,9,88.77,1
1,8,81.96,1
2,10,100.82,1
3,9,90.71,1
5,11,109.03,1
5,11,108.93,1
2,10,98.05,1
5,11,53.58,0
1,7,32.54,0
6,13,66.69,0
3,9,44.46,0
1,8,84.44,1
3,10,147.68,2
1,10,98.53,1
4,10,104.25,1
3,10,184.86467741935485,2
5,11,95.29865671641792,1
2,9,43.15,0
4,11,52.85,0
6,13,127.99,1
1,9,90.1,1
3,9,89.06,1
6,13,65.68,0
3,10,104.05,1
1,8,79.26,1
1,8,83.46,1
6,13,66.84,0
4,11,109.9,1
1,9,97.3725,1
4,12,120.34,1
1,9,89.51,1
4,11,106.22,1
5,11,106.48,1
4,11,52.87,0
3,8,40.59,0
5,11,54.51,0
1,7,32.62,0
4,12,182.07,2
4,11,109.86,1
2,9,44.89,0
2,11,111.72,1
2,9,45.41,0
5,11,54.39,0
3,9,89.04,1
5,11,54.11,0
2,10,103.57,1
4,12,182.3207329842932,2
5,11,109.9,1
5,12,184.88,2
5,12,183.45,2
4,10,50.77,0
2,10,101.93,1
1,8,83.29,1
2,9,94.56,1
1,9,92.34,1
4,12,181.74,2
5,11,53.59,0
4,11,107.34,1
4,10,50.99,0
4,11,107.35,1
4,10,51.83,0
3,10,155.73,2
3,8,40.16,0
5,11,55.35,0
3,8,42.06,0
5,11,53.78,0
4,10,51.93,0
1,9,86.89,1
5,11,107.73,1
3,9,91.33,1
4,11,105.59,1
5,11,54.11,0
1,9,86.57,1
4,11,111.08,1
1,7,34.64,0
5,12,183.29666666666665,2
5,10,51.75,0
3,9,86.77,1
5,10,102.41,1
3,8,40.33,0
1,10,103.81,1
3,9,90.01,1
2,10,102.59,1
6,14,68.44,0
2,10,98.05,1
4,11,109.3,1
2,11,105.34,1
1,9,89.01,1
3,10,96.23,1
1,8,97.26702923976607,1
4,10,52.44,0
6,13,65.39,0
1,8,84.87,1
1,8,81.62,1
2,10,157.39,2
3,9,87.38,1
2,9,42.82,0
2,10,94.13836734693876,1
5,11,53.05,0
3,8,40.04,0
2,9,94.85,1
5,12,182.37,2
5,11,109.23,1
6,13,66.33,0
2,10,96.04,1
5,12,119.19,1
5,10,52.18,0
1,8,37.54,0
2,9,42.56,0
1,8,82.9,1
1,9,88.56,1
1,10,97.07,1
3,10,148.25,2
3,9,90.35,1
5,11,114.38,1
4,11,52.66,0
3,8,40.15,0
3,8,40.05,0
3,9,90.45,1
3,10,97.57,1
3,9,91.9,1
5,11,53.12,0
3,10,150.25,2
4,11,53.58,0
6,13,65.69,0
1,9,86.77,1
1,9,89.32,1
3,8,40.46,0
1,8,81.99,1
4,12,180.76,2
3,8,39.57,0
1,9,90.56,1
4,10,102.56,1
4,12,119.35,1
3,9,88.73,1
6,13,63.94,0
2,8,41.71,0
4,10,50.27,0
3,8,40.74,0
6,13,65.33,0
2,10,101.85,1
3,9,89.4,1
4,11,108.73,1
1,9,90.88,1
4,12,179.11,2
1,9,86.28,1
2,9,93.14,1
1,9,94.44,1
4,12,180.05,2
4,10,51.46,0
5,11,54.06,0
4,11,53.03,0
1,9,131.13,2
1,9,86.02,1
5,11,54.97,0
4,10,50.33,0
2,10,96.51,1
1,8,84.22,1
2,10,96.5,1
4,10,51.06,0
4,10,95.94227722772276,1
6,13,64.87,0
5,10,52.01,0
1,9,88.29,1
1,9,95.80082191780822,1
1,9,85.16,1
1,8,83.8,1
1,9,85.75,1
5,11,46.95453781512605,0
1,8,84.74,1
3,8,41.18,0
1,9,87.99,1
5,10,104.32,1
5,11,110.53,1
3,9,88.22,1
4,12,181.52,2
5,11,53.68,0
1,9,88.36,1
2,12,115.68,1
2,10,102.64,1
2,10,98.03,1
3,8,48.78010452961672,0
5,11,98.19682926829267,1
1,9,89.35,1
3,10,155.13,2
3,9,92.06,1
6,13,65.6,0
4,11,109.83,1
5,10,51.88,0
1,8,125.94,2
3,8,41.73,0
4,10,50.4,0
3,10,103.15,1
4,12,120.66,1
4,10,51.75,0
1,8,81.29,1
2,8,42.38,0
3,8,40.13,0
3,10,147.6,2
4,11,105.41,1
1,10,95.14,1
4,11,105.79,1
2,10,98.31,1
1,9,85.17,1
6,13,125.65,1
2,9,94.0,1
3,9,90.54,1
3,9,92.91,1
3,9,91.46,1
2,10,95.29865671641792,1
3,9,91.17,1
2,10,96.68,1
3,8,41.55,0
4,10,50.81,0
3,10,151.16,2
3,10,150.45,2
1,9,89.13,1
4,11,105.56,1
6,13,64.79,0
2,9,43.96,0
4,12,182.55,2
3,8,40.35,0
3,9,94.31,1
1,8,183.01889733840304,2
3,9,90.95,1
2,10,101.27,1
5,12,184.92444444444445,2
1,8,127.11,2
5,11,53.12,0
1,8,83.72,1
2,10,99.03,1
2,9,46.59,0
3,10,97.6776388888889,1
2,9,42.73,0
3,9,44.87,0
2,8,42.43,0
1,7,34.65,0
1,9,86.02,1
1,8,82.25,1
1,9,93.35,1
2,9,43.17,0
4,11,111.48,1
4,11,107.48,1
5,12,115.55,1
1,8,82.07,1
1,9,89.35,1
3,9,43.33,0
1,9,94.25,1
2,9,42.97,0
5,11,98.19682926829267,1
4,12,182.12,2
1,9,90.23,1
2,10,95.47,1
2,10,98.78,1
2,9,44.07,0
5,11,105.51,1
5,12,184.86467741935485,2
1,9,92.34,1
5,11,53.95,0
1,9,87.04,1
2,9,44.46,0
2,10,97.52,1
1,7,35.69,0
1,9,86.18,1
3,9,45.14,0
1,7,36.02,0
5,11,108.4,1
1,7,35.84,0
3,10,103.9,1
3,10,151.58,2
4,10,50.91,0
4,12,182.67,2
5,11,107.68,1
3,10,98.14,1
3,9,90.01,1
1,10,95.46,1
3,8,41.76,0
3,9,88.72,1
4,10,51.67,0
1,9,87.22,1
4,11,53.54,0
5,11,52.69,0
5,11,108.27,1
2,9,43.4,0
5,11,53.89,0
4,11,112.36,1
2,10,97.15,1
5,13,127.87,1
1,8,40.11,0
1,8,84.76,1
5,11,98.00036363636364,1
4,11,110.27,1
3,9,90.87,1
1,8,82.98,1
4,11,52.94,0
4,11,108.85,1
5,11,52.86,0
4,11,106.73,1
3,9,93.88,1
1,9,98.19682926829267,1
2,10,101.17,1
1,9,87.07,1
3,8,40.77,0
4,10,104.7,1
5,10,103.94,1
4,11,106.94,1
3,9,94.7,1
2,9,43.42,0
2,9,46.23,0
1,8,83.69,1
1,9,87.69,1
1,9,86.99,1
1,8,83.81,1
5,11,52.51,0
2,10,97.89,1
2,10,96.85,1
6,13,64.29,0
3,9,45.51,0
5,10,51.91,0
5,11,53.93,0
6,13,65.54,0
1,9,93.15,1
1,9,86.67,1
4,11,107.43,1
2,10,101.72,1
3,8,41.05,0
5,12,117.52,1
3,10,97.77,1
4,11,112.28,1
1,9,85.0,1
3,9,42.62,0
4,11,108.22,1
1,10,98.42,1
4,11,54.16,0
4,12,178.78,2
2,10,99.91,1
1,9,91.34,1
5,11,109.85,1
1,7,34.48,0
5,10,51.76,0
2,10,98.83,1
1,8,127.08,2
4,11,53.48,0
5,11,113.14,1
5,11,55.59,0
1,8,94.13836734693876,1
5,11,54.93,0
4,11,106.96,1
3,10,148.6,2
1,9,87.31,1
4,11,106.74,1
1,9,89.87,1
1,9,88.17,1
5,12,185.24,2
3,9,97.0785026737968,1
4,12,178.5,2
6,13,64.94,0
3,10,149.84,2
1,8,81.71,1
3,10,97.59562841530057,1
3,9,91.9,1
5,10,51.82,0
2,10,97.23,1
4,11,112.34,1
1,10,99.0,1
4,11,108.26,1
3,10,96.87888059701493,1
2,9,42.86,0
3,9,91.38,1
1,9,92.75,1
1,8,81.58,1
1,8,84.39,1
1,8,80.71,1
1,8,84.39,1
5,12,118.27,1
4,11,107.29,1
5,11,52.67,0
5,10,102.77,1
6,13,65.77,0
2,10,101.93,1
5,11,55.81,0
1,9,90.16,1
4,10,50.78,0
3,9,91.73,1
1,7,34.38,0
1,8,84.6,1
1,9,89.97,1
4,10,50.84,0
5,10,51.48,0
6,13,65.98,0
1,7,34.16,0
3,10,149.47,2
4,10,50.93,0
6,13,66.68,0
3,9,89.44,1
2,11,109.08,1
5,10,52.41,0
1,9,93.67,1
4,10,51.43,0
1,9,86.89,1
2,11,105.3,1
5,12,183.74,2
1,9,89.71,1
3,9,89.98,1
4,10,50.8,0
2,8,41.11,0
2,10,154.48,2
4,11,109.89,1
3,10,149.73,2
4,11,112.57,1
2,8,41.55,0
1,9,88.86,1
5,11,55.25,0
3,8,40.84,0
2,10,104.18,1
4,11,107.74,1
2,10,96.35,1
5,11,53.62,0
1,9,86.77,1
2,10,104.11,1
5,10,51.86,0
3,10,184.187,2
1,8,82.7,1
5,11,53.45,0
3,9,93.42,1
2,9,43.13,0
4,10,50.22,0
1,8,97.09780821917808,1
3,10,147.25,2
1,8,84.51,1
6,12,124.29,1
1,9,96.84102803738318,1
4,11,108.07,1
2,11,107.78,1
4,11,110.43,1
3,9,93.61,1
1,9,89.55,1
2,9,43.91,0
4,11,110.03,1
4,10,50.26,0
3,9,43.35,0
4,10,49.98,0
4,10,51.45,0
1,9,87.39,1
4,11,105.29,1
1,9,89.4,1
5,11,112.34,1
